date;price;market_cap;total_volume
2021-11-23;0,22022;29089986846;1071295453
2021-11-24;0,22656;29958889793;1769899579
2021-11-25;0,21828;28878915784;1252623948
2021-11-26;0,22161;29310587671;1199279937
2021-11-27;0,20242;26775845330;2369326533
2021-11-28;0,20438;26984855765;1226693533
2021-11-29;0,20753;27457594550;1316180058
2021-11-30;0,21524;28521528060;1884339529
2021-12-01;0,21498;28448975743;1703432997
2021-12-02;0,20949;27724567903;918544485
2021-12-03;0,20973;27757626765;1915107775
2021-12-04;0,20126;26624094017;1308763626
2021-12-05;0,17899;23761598360;3753914609
2021-12-06;0,17137;22688750945;1438723427
2021-12-07;0,17828;23606751297;1840846269
2021-12-08;0,17716;23471280982;1119995690
2021-12-09;0,17914;23725166634;1015213141
2021-12-10;0,17070;22610118287;936589839
2021-12-11;0,16533;21900883983;780125454
2021-12-12;0,16892;22378284973;756913416
2021-12-13;0,16991;22512231326;643576077
2021-12-14;0,15772;20939287872;901190677
2021-12-15;0,19122;25340873990;5997692276
